,atom_seq2,dots-angle,planes-angle,dot_distance1,dot_distance2,dot_distance3
957,CCCO,105.32132325388481,90.04493559873929,1.3624977064200872,2.3009780529157555,3.108150575503056
947,CCCc9,110.50701062128492,177.69300454253735,1.5288230767489026,2.5148558606806772,3.8600906725101605
958,CCOH,97.67795749811074,8.70127547806558,0.9997999799959889,1.7944358444926325,1.969187649768298
948,CCc9c10,120.90647054130639,176.97868326129608,1.3841242718773468,2.535133132598752,3.818389712954914
949,Cc9c10C,120.11166208352665,19.01305894948824,1.5253524182955245,2.5220824728783175,2.9666479400157986
951,c10CCC,111.19288954333148,169.9736609508766,1.528986592485364,2.526598503917866,3.8412758297211647
950,c9c10CC,108.06648947453836,173.6510611242657,1.5332644912082154,2.4755201473629747,3.7804761604856063
74,CCCC,117.9545484561229,170.55310577894875,1.5238438240187246,2.6127954378404787,3.906840155419726
137,CCCO,117.55241498994863,121.80792980546256,1.3552121605121445,2.4722863911772133,3.629283675878758
127,CCCc9,110.44167592902465,69.89048293772949,1.531959529491563,2.5172405526687416,3.055535959533131
138,CCOH,110.15966994339752,12.275878827954811,0.9994498486667536,1.9414170082699844,2.4576614901161697
128,CCc9c10,123.74466964384551,179.99880644917656,1.3906113763377506,2.578274616870744,3.8452178091754408
129,Cc9c10C,125.72476066831254,6.928348289752449,1.5266630276521431,2.5968634927542826,3.1368774282716227
131,c10CCC,116.27479288492466,168.20822575805877,1.5287576655572332,2.599961538177057,3.9447306625421255
130,c9c10CC,113.79390436311876,176.5612609444549,1.5324816475246958,2.5626158510397192,3.8915806557233226
182,CCCC,104.26582817984033,158.07989775880728,1.5310780515702034,2.4170436487577147,3.789393091248258
97,CCCO,112.00767691855258,147.15275369358724,1.3577186748365815,2.3948486382233045,3.6202071763919808
87,CCCc9,115.46576335285991,164.18907482854544,1.5305881222588915,2.5842020044880396,3.918226639693014
98,CCOH,97.49418091392334,174.78752884398088,0.9978476837674161,1.7867568385205637,3.1663859524701037
88,CCc9c10,120.2594978757461,161.4149833059772,1.384304879714003,2.5287150887357805,3.8427854480832004
89,Cc9c10C,122.29769901624137,2.6026803073744063,1.5301633899685345,2.5536836139193113,2.9739199720234586
91,c10CCC,108.81303121547217,170.72248475655283,1.5239750654128192,2.4821966078455633,3.8819969088086643
90,c9c10CC,115.090276406037,175.6666666858762,1.5285287043428406,2.580968810350098,3.876918879729108
672,CCCC,112.44126919981935,178.40732142230618,1.5312086729117012,2.5417120214532614,3.9180990288659174
157,CCCO,117.68540150408317,117.8336062414836,1.3587126259809348,2.4736612540928,3.6227199726172614
147,CCCc9,113.2475166357444,159.04651027574772,1.5276125163142613,2.549294019920016,3.8800644324546973
158,CCOH,106.00750063988318,12.880099222910621,0.996042167782066,1.89330399038295,2.391422171010375
148,CCc9c10,122.24641877011143,179.96321615682558,1.393735986476636,2.5589255557753097,3.861657675144177
149,Cc9c10C,124.98702388790768,8.229466500020324,1.5276125163142706,2.5918526192667772,3.0903883251138593
151,c10CCC,112.15057906408913,171.3214987147044,1.5350895739337167,2.540098423289925,3.8978583863449963
150,c9c10CC,112.224959412311,173.6350324816501,1.5261061562027676,2.53499506902874,3.865139066062184
62,CCCC,111.72257946488767,159.52440089418,1.5306534552275417,2.5344624676644973,3.892698292958243
537,CCCO,112.60146163692475,116.03609782287796,1.359301291105104,2.410912690248239,3.4043501582534077
527,CCCc9,109.80621504233265,162.1701899491142,1.5341773039645707,2.501619475459847,3.808477386042878
538,CCOH,107.82777376771908,17.639200204135552,1.0012991560967142,1.9192967462067967,2.3310727144385712
528,CCc9c10,125.46503158449053,153.32676651385492,1.3888844444373325,2.59909599668808,3.7932967192140397
529,Cc9c10C,119.41932069972773,9.440815701560032,1.5289865924853598,2.520515820224103,3.0386016520761654
531,c10CCC,111.11199693696236,175.08125102071418,1.52954241523405,2.5271525478292793,3.917103521736439
530,c9c10CC,114.766038823038,154.55762489532162,1.5348615572747906,2.5806588306089573,3.820654394210497
312,CCCC,108.89281841303217,173.66422333201592,1.523351568089255,2.4834854539537754,3.846738878582741
597,CCCO,117.10235079946274,88.2881947164772,1.3641114323983956,2.468764873372921,3.3318463349920595
587,CCCc9,108.76242867524914,161.10507232312895,1.5309474190840135,2.484471774844708,3.8080572474688514
598,CCOH,105.85683833651744,179.56269603485129,1.0077201992616756,1.9045996954740863,3.2987724989759415
588,CCc9c10,129.32749629032287,172.91405715139678,1.3793476719087117,2.6311594402468295,3.8298825047251763
589,Cc9c10C,126.89086102171247,4.492899502039326,1.5351221449774028,2.6079493860119274,3.27276641390736
591,c10CCC,110.85906741849978,173.90388516164808,1.5233515680892475,2.511632934964812,3.9032934811515236
590,c9c10CC,114.23685206105547,177.064686630065,1.5268595220255217,2.5714392856919717,3.893956856463615
676,CCCC,117.64604853170178,89.59741317554989,1.5253524182955251,2.6169829957414743,3.452810449474461
557,CCCO,119.31027821035218,171.91423326750046,1.3606983501129117,2.5018792936510734,3.807965335976679
547,CCCc9,111.74400298239148,172.22833894391516,1.5272524349301233,2.533456137374394,3.91747367572521
558,CCOH,103.9234978497988,9.463454315417579,0.9974968671629976,1.870748513296218,2.389476930208789
548,CCc9c10,126.76296652659948,178.768832889234,1.3823892360692083,2.602056878701923,3.8665488487797486
549,Cc9c10C,130.50919169010712,5.116572658474525,1.5322532427767939,2.647753764986468,3.2940097146183396
551,c10CCC,107.39632013174358,168.8169603311027,1.5292154851426307,2.464000811688179,3.8364175997928074
550,c9c10CC,111.32137677842623,174.8210312986556,1.52820155738698,2.527053620325453,3.8764674640708643
1044,CCCC,108.20546899236197,170.25757097141903,1.5327100182356843,2.4819347291981733,3.8058507590287944
297,CCCO,117.38623463103676,153.55323269248393,1.367406303919937,2.4784269204477254,3.7690449718728427
287,CCCc9,109.32682782558439,167.82939346642402,1.530947419084014,2.4966777925875823,3.879291172366419
298,CCOH,102.46047787907185,168.52437899337846,1.0018981984213755,1.8613973245924669,3.263433774416145
288,CCc9c10,121.36830450771377,177.78994739321504,1.3983919336151798,2.5550146770615623,3.8208506906185185
289,Cc9c10C,129.95249761406328,0.9900834411419526,1.523975065412816,2.6485845276298066,3.1770426500127456
291,c10CCC,111.9778803984414,160.60537569923594,1.5345031769273048,2.539310930154082,3.8691859608966843
290,c9c10CC,112.07135863516613,169.04694146139624,1.5288557812952817,2.531975513309721,3.8881100807461766
482,CCCC,110.96080513937414,171.37308654148012,1.5295097253695285,2.5248366283781496,3.8817264200352795
217,CCCO,109.65118874150428,142.40810547996722,1.3601838111078952,2.3676781875922224,3.581312608527774
207,CCCc9,117.22826040436077,174.22065396264009,1.526433752247367,2.6126997531289287,3.911521443121587
218,CCOH,102.95670965271131,9.43330148206493,1.001399021369603,1.861101824189101,2.1609951411329025
208,CCc9c10,125.01892082225918,158.6407809235919,1.3884523758487408,2.586542093220213,3.8979481782086336
209,Cc9c10C,126.47372858997137,4.7069856367033625,1.5309474190840164,2.607450862432504,3.1761612049768484
211,c10CCC,115.41544467306399,176.4191659305775,1.5264665079850264,2.584840420606271,3.9408120990476077
210,c9c10CC,113.13519714995708,175.29796533324546,1.531306631605835,2.555562560376874,3.887531350355908
383,CCCC,105.37120586369892,167.00706085085736,1.5255818562109325,2.424438079225776,3.797749333486875
797,CCCO,118.09718779709276,79.71821052440147,1.3687220316777224,2.482760560344071,3.038782650996942
787,CCCc9,105.7344607318881,168.98994120570703,1.5368148880070034,2.4428262320517162,3.8232054613896906
798,CCOH,102.87719105711024,172.64783612800613,1.0018482919085112,1.8676991192373538,3.2719107567291634
788,CCc9c10,123.59369288600797,149.14024568331334,1.3923002549737604,2.5822664463606295,3.720067203694037
789,Cc9c10C,124.12702622839221,18.299764523361077,1.5261389189716652,2.5791083730622892,3.12515599610643
791,c10CCC,103.95402081176239,167.51475733566485,1.523975065412815,2.4041630560342595,3.765248995750476
790,c9c10CC,109.24291748112908,161.43362609521296,1.5279070652366316,2.4901003995823143,3.802906782975361
32,CCCC,106.33966416870166,177.63381366086537,1.533818763739702,2.4497142690526186,3.8420176990742756
737,CCCO,118.53079051790509,77.98085324675439,1.3515546603818873,2.474853531019566,3.2673689721242116
727,CCCc9,109.16546327495203,179.62429241565792,1.5326121492406362,2.49665776589424,3.91315729303079
738,CCOH,109.15049967945201,1.002954945875091,1.0004998750624594,1.927407585333208,2.4408809884957554
728,CCc9c10,123.18059963270065,168.2818254341647,1.3906113763377554,2.5720614300595512,3.815874735889529
729,Cc9c10C,117.17761385926042,3.542689001039113,1.5292154851426245,2.4929701161465934,2.9300170647967136
731,c10CCC,112.31231235036635,175.16032846729658,1.5319921670817993,2.537183477795803,3.82656503930091
730,c9c10CC,105.32612921479972,167.08322941171127,1.5227934856703351,2.4266025632558774,3.717230151604817
36,CCCC,111.81072140339268,178.56599868750163,1.5227934856703347,2.5347386453044813,3.8826022201611137
1057,CCCO,113.67316914534952,177.06890713242726,1.3572766851309197,2.420702377410327,3.7950098814100626
1047,CCCc9,105.40532755759756,178.22861429335515,1.5285287043428426,2.4325706567333305,3.8686690217696276
1058,CCOH,108.27529680253576,0.29897849230487283,0.9947864092356726,1.9179676743886958,2.330021459128653
1048,CCc9c10,124.23866792155435,178.634118751305,1.3892803892663292,2.579941859810027,3.7759899364272753
1049,Cc9c10C,118.2621851235097,5.323630371539633,1.529869275461141,2.506671099286858,2.9773478130712228
1051,c10CCC,110.25402785026435,177.94298971515857,1.536326788154135,2.5164061675333764,3.9235443160489467
1050,c9c10CC,115.89968985149007,177.48999488498697,1.5308820986607714,2.5942436277265846,3.862615694060178
394,CCCC,113.40794422540151,170.1605770685661,1.5340795285773188,2.5614253844295387,3.9278492842775923
437,CCCO,113.72610291366796,120.4162185859222,1.3547324459095276,2.4229940156756493,3.4724343046341506
427,CCCc9,116.27751105138937,179.53910998281842,1.5409412707822463,2.6112640617141705,3.977901456798547
438,CCOH,112.00429398509787,176.99304325637516,1.0019980039900194,1.963797341886373,3.311510229487439
428,CCc9c10,122.4000539935222,150.6752414239604,1.3845576911057094,2.564741702394218,3.8512984823303316
429,Cc9c10C,118.7800004424643,8.26260439382629,1.5280706789936165,2.5078277452807636,2.952304184869857
431,c10CCC,110.51585367910904,155.7608045278972,1.529019293534257,2.5121703763877115,3.860751222236422
430,c9c10CC,114.67077369671406,171.68882960976794,1.5281688388394767,2.5728777662376516,3.841783440018451
415,CCCC,109.09976744416433,157.68286467763974,1.536424420529693,2.494914828205561,3.831109499870762
57,CCCO,116.713221521913,146.36780509734663,1.358528615819332,2.455096739438176,3.65924855673948
47,CCCc9,107.06407085312694,178.36690838959464,1.5327752607606846,2.467589917307971,3.884842339143243
58,CCOH,110.88710445620914,4.542047156065162,1.0017484714238405,1.9543541132558353,2.439508147147695
48,CCc9c10,123.79632478926915,168.9084458075275,1.3918692467326181,2.5807169546465203,3.7986971450748754
49,Cc9c10C,123.32257462520224,2.171498950194207,1.532905737480291,2.575131064625649,3.0869564298836494
51,c10CCC,117.24967960451951,164.7862103760021,1.5373678805022497,2.6143832924802743,3.8582638582657856
50,c9c10CC,105.28335627590337,167.813328090306,1.5247622765533044,2.4304114877937906,3.761276379103256
695,CCCC,106.42161802887375,172.90621924102135,1.5295097253695422,2.453955989825407,3.7839133182460767
1117,CCCO,120.63068793660962,73.46787416661292,1.36091880727691,2.5152335875619904,3.122963336320162
1107,CCCc9,102.69878987338654,175.46721779608052,1.5226621424334337,2.3870274401439073,3.848766036017255
1118,CCOH,109.97691437046382,11.43330292143105,1.0026963648084024,1.9467665499489124,2.522498761149343
1108,CCc9c10,123.88601550201015,171.7204825856595,1.3900719405843787,2.5711864965420177,3.732345107301847
1109,Cc9c10C,123.78589507670364,2.44676004570435,1.5300000000000027,2.576548078340476,3.090323607650172
1111,c10CCC,118.4695037846232,175.69422900338634,1.5292154851426267,2.633040068058217,3.9224992033141337
1110,c9c10CC,108.76173035053704,177.9281764151273,1.535057002198945,2.491605907843373,3.8243169324730437
54,CCCC,109.88888963333685,158.2864378199474,1.5295097253695389,2.506212281511682,3.8583027356598185
317,CCCO,121.11206355093552,165.38199904234048,1.3663820841916845,2.5239057034683383,3.8729058857658853
307,CCCc9,116.4931686402962,171.42777511409327,1.5313066316058275,2.6066453537065604,3.87920094864909
318,CCOH,108.19399297446702,17.158971936203255,0.9980480950334982,1.9273557014728764,2.5172604156105867
308,CCc9c10,124.46794970007136,169.7713678664861,1.384088147481946,2.580620080523283,3.9070833111158536
309,Cc9c10C,125.00262139961282,3.9788977850745004,1.5357734207883655,2.590926475220783,3.1328900395641033
311,c10CCC,111.30126649541143,165.2585121930709,1.5292154851426267,2.520753855496409,3.8809019570197827
310,c9c10CC,112.42415696138168,179.393524545868,1.5239750654128204,2.542970703724286,3.8649967658459943
14,CCCC,114.20805354057408,173.3704318383978,1.5305554547287703,2.565891657884248,3.9051504452453543
637,CCCO,115.35808848817456,149.37983963489341,1.3611024943037908,2.441024375134339,3.6403021852588004
627,CCCc9,106.25105346039484,158.5303995732809,1.5269905042271894,2.440758078958261,3.820798345895801
